Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,30.896230697631836,33.62959566682496,25.536993424027145,27.579339475363934,855215656
2007-10-08,29.314565658569336,31.940437931711458,29.130293116220326,31.940437931711458,126671715
2007-10-09,31.310836791992188,31.587243472262923,27.748250230796387,29.329914613165748,116725709
2007-10-10,31.602611541748047,32.2475634777961,31.326204759320543,32.124714398993284,67931378
2007-10-11,35.13447952270508,36.85434961576896,31.326198423076104,36.85434961576896,106320954
2007-10-12,34.904144287109375,36.209402372050526,34.09027831431998,34.397397863717906,99410791
2007-10-15,35.36482620239258,35.84086403818401,35.05770663049196,35.62587867162326,41814972
2007-10-16,38.97348403930664,39.58772739387044,35.16520190069811,35.41089591006275,138614496
2007-10-17,42.01397705078125,42.9967573869974,32.58540047308787,35.01164684805493,204876259
2007-10-18,40.539772033691406,45.89900761362842,38.804548132568485,42.68960798761419,146617799
2007-10-19,40.40158462524414,42.0446749285371,38.38994922315784,39.61842733170208,110266491
2007-10-22,39.86412811279297,41.107960614461874,38.54351155864125,39.587721353041594,72253405
2007-10-23,42.70497512817383,43.08887448360065,40.84689974856324,40.84689974856324,74594921
2007-10-24,42.044681549072266,44.07167158046381,41.56864370770731,43.61098805164334,63055170
2007-10-25,41.95253372192383,42.93531780824536,37.053975930549925,40.61656303649686,34522489
2007-10-26,43.211734771728516,43.90275382462318,41.53793139959775,42.68962982108886,62370025
2007-10-29,44.0870361328125,45.146600580603504,43.703136574276165,43.91812199328724,43657697
2007-10-30,45.069801330566406,46.28292091567573,43.365285522684296,44.68590193675175,79921711
2007-10-31,46.006526947021484,47.02002412717177,45.14659373256927,45.300153532691176,44655368
2007-11-01,44.9776725769043,47.49605480409117,44.6091315795245,47.142868119511235,50632492
2007-11-02,45.79153823852539,46.067949191152636,42.99674924594843,43.34994009306639,32001693
2007-11-05,46.72826385498047,47.757115459315486,45.48442684117487,45.760837843516086,38833135
2007-11-06,47.34248733520508,50.33690276042756,46.697535487426734,47.542114197104866,81880281
2007-11-07,46.6514778137207,48.8934491751123,45.60727203123114,48.21778857024309,33593141
2007-11-08,45.85295486450195,47.09679141165494,44.839462121406974,45.45370115736152,27990521
2007-11-12,46.95859146118164,47.7878159230524,43.257798336847955,44.4709222411449,35153735
2007-11-13,48.07957077026367,49.04699640671284,46.23685368537953,47.757096946638946,43830531
2007-11-14,47.44997787475586,49.599814493825214,47.2042797618029,48.924149890173396,36738579
2007-11-15,48.24848937988281,49.09306805039598,47.34248513982959,48.34062356861787,29242252
2007-11-16,47.910667419433594,49.00094027227761,47.35784967097989,48.033514419453546,18895294
2007-11-19,49.64588928222656,51.44253956828878,48.63239638525592,49.00093736343811,40716718
2007-11-20,48.87810134887695,50.82831185526539,48.279216397152986,49.446273504126964,26342171
2007-11-21,45.069801330566406,49.46160872957614,43.97952455278776,49.16984768962201,26814499
2007-11-22,43.518836975097656,46.40576319810442,41.63005315109906,44.5937550726419,34096185
2007-11-23,46.40578079223633,46.68218757471451,43.79526025716782,46.375068001833014,27664090
2007-11-26,46.774314880371094,48.125639968591926,46.405773946624606,48.125639968591926,20159123
2007-11-27,45.62263488769531,47.572845500435,45.14660109590753,47.572845500435,20573198
2007-11-28,44.946964263916016,46.83575320527926,44.639844652712405,46.62076781120621,16435311
2007-11-29,43.73383712768555,46.31364060565342,43.16566510701047,46.0679466232091,25530967
2007-11-30,45.423004150390625,45.699410979466656,43.918118822686424,44.532358072000505,18437721
2007-12-03,46.06793975830078,46.63611169430855,45.622614795208875,45.975801404432616,16851227
2007-12-04,45.469058990478516,46.75896273216917,45.1312266614095,46.375063304948775,14008727
2007-12-05,47.281070709228516,47.449988982471595,45.45371165459242,45.54584586503335,27725290
2007-12-06,46.40578079223633,49.03165147414278,45.80689595888709,48.30991964475611,24104710
2007-12-07,46.20615005493164,47.357848461151725,45.37692970179868,46.697542208034044,11742386
2007-12-10,46.25222396850586,46.820391882270265,45.65333909679474,46.65147777259589,8330010
2007-12-11,46.03722381591797,46.92786951543608,45.806884195409424,46.666817112411444,11685950
2007-12-12,46.006526947021484,46.42113924046586,45.14659373256927,45.45371333281309,16342131
2007-12-13,45.23871994018555,46.68218347210167,45.069805856175876,46.06794438032041,14620172
2007-12-14,44.79340362548828,45.49978121746898,44.56306392136819,45.08516891693756,10991851
2007-12-17,42.09075164794922,45.3001531065355,41.46115397402656,45.05445492930612,19355678
2007-12-18,41.90647888183594,43.30387137774739,40.601220598516576,41.6147135993341,21607783
2007-12-19,41.138671875,43.626340951554525,40.785485241453905,43.25779584185189,19526912
2007-12-20,40.72406005859375,42.01396378935012,40.539787501974935,41.67613146314485,17105204
2007-12-24,41.9678955078125,42.62820166529412,41.00046565424558,41.33829797092171,16711519
2007-12-26,43.24245834350586,43.76456342431128,42.19825234747196,42.19825234747196,20930094
2007-12-27,43.54955291748047,44.747318051497075,43.18100787674866,44.133079093993736,44565277
2007-12-28,43.887393951416016,44.07166650862264,42.99674395251322,43.457423262742104,18354518
2007-12-31,44.20986557006836,44.47091799913188,43.67240640193912,44.22522404564571,11982308
2008-01-01,45.02372741699219,45.43833957098833,44.02558905190784,44.44020120590399,16687746
2008-01-02,44.77804946899414,45.36157588836957,44.11774314797519,45.02374348802287,13437280
2008-01-03,46.620758056640625,46.8050306179223,43.96417480868754,44.50163401584006,31815218
2008-01-04,46.37507629394531,47.910674432925966,46.067956666149186,47.296435177333706,28011310
2008-01-07,45.991172790527344,47.05073291564645,45.49978059534147,46.08330700468512,15858063
2008-01-08,44.42485427856445,46.682183789314564,43.88739506960373,46.0372319054466,13282666
2008-01-09,43.71847915649414,44.67055063924683,43.610986475839276,44.47092375550248,13113527
2008-01-10,42.67426681518555,45.14658142236313,42.38250160827964,43.91810335635937,18023003
2008-01-11,43.319236755371094,43.733849109213686,41.61472022636861,43.25781116014375,11629440
2008-01-14,43.97952651977539,44.4402058129569,42.70498130842158,43.39600024819385,10264240
2008-01-15,42.6435661315918,44.87018325808154,42.290379420505225,44.685914828350256,11558334
2008-01-16,41.76826858520508,42.68962726727979,40.708708600164535,42.33644060559961,14834065
2008-01-17,42.88925552368164,43.84132693299592,41.03117980304443,41.92182563798667,16169395
2008-01-18,40.89297866821289,42.58213614868837,40.53978786256226,42.53606488494236,13254156
2008-01-21,33.93672561645508,40.53979730545056,29.560269042123384,40.53979730545056,33202389
2008-01-22,30.5277042388916,32.247575310928326,24.247105003742842,30.589127759438195,58755707
2008-01-23,33.93672561645508,35.241983973582094,31.0190892887594,31.0190892887594,28425991
2008-01-24,34.01350402832031,36.424393721234814,32.401126128454564,35.764087414405026,29911930
2008-01-25,35.76408767700195,35.93300179199767,34.32062388029307,35.62588218976822,12550722
2008-01-28,36.147979736328125,36.42438648830271,32.4011196944382,35.27268821709581,13601109
2008-01-29,35.54909896850586,36.76222295022257,35.011639714809355,36.240118008972786,7679877
2008-01-30,33.58353042602539,35.779434275320774,33.13820543259315,35.62587450732004,9016102
2008-01-31,31.38762855529785,34.0288577397834,31.01908548096655,33.93672145050359,41538563
2008-02-01,32.477901458740234,32.70824112631178,31.633322677644536,31.925085840010944,9089201
2008-02-04,34.151702880859375,34.55095872418084,33.09214081869737,33.09214081869737,12009385
2008-02-05,35.211265563964844,35.67194491066256,33.47604085785193,34.21312697945313,14593303
2008-02-06,34.904144287109375,35.31875651191166,32.953936398105235,34.24383808901894,12429218
2008-02-07,33.261051177978516,35.61051664363967,33.046067940785406,34.428105714896404,11300078
2008-02-08,32.401126861572266,33.75245229892001,31.80224196184111,33.4760454858042,13514197
