Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
2007-10-05,30.8962345123291,33.629599819005456,25.536996577029846,27.57934288053112,855215656
2007-10-08,29.31456756591797,31.940440009912148,29.13029501157929,31.940440009912148,126671715
2007-10-09,31.310850143432617,31.587256941567578,27.748262063093062,29.329927119909353,116725709
2007-10-10,31.60260772705078,32.247559585247785,31.326200977987867,32.124710521273876,67931378
2007-10-11,35.13448715209961,36.85435761863045,31.326205225508645,36.85435761863045,106320954
2007-10-12,34.90414810180664,36.20940632940032,34.0902820400693,34.397401623032515,99410791
2007-10-15,35.36482620239258,35.84086403818401,35.05770663049196,35.62587867162326,41814972
2007-10-16,38.973487854003906,39.58773126868942,35.1652053426434,35.41089937605639,138614496
2007-10-17,42.01397705078125,42.9967573869974,32.58540047308787,35.01164684805493,204876259
2007-10-18,40.539791107177734,45.89902920857211,38.80456638965236,42.68962807257307,146617799
2007-10-19,40.40159225463867,42.04468286821115,38.38995647267717,39.61843481320597,110266491
2007-10-22,39.86412048339844,41.10795274701651,38.543504181992866,39.58771377654716,72253405
2007-10-23,42.70499038696289,43.088889879559666,40.84691434344885,40.84691434344885,74594921
2007-10-24,42.044673919677734,44.071663583253276,41.56863616469423,43.610980138028076,63055170
2007-10-25,41.95253372192383,42.93531780824536,37.053975930549925,40.61656303649686,34522489
2007-10-26,43.211727142333984,43.90274607322343,41.53792406572725,42.68962228387634,62370025
2007-10-29,44.08702850341797,45.146592767848155,43.703129011316605,43.9181143931238,43657697
2007-10-30,45.06980895996094,46.282928750426564,43.365292863539196,44.68590950115997,79921711
2007-10-31,46.006526947021484,47.02002412717177,45.14659373256927,45.300153532691176,44655368
2007-11-01,44.9776725769043,47.49605480409117,44.6091315795245,47.142868119511235,50632492
2007-11-02,45.791534423828125,46.067945353428755,42.99674566407308,43.34993648176822,32001693
2007-11-05,46.728240966796875,47.757092067185404,45.48440456224075,45.76081542919183,38833135
2007-11-06,47.34249496459961,50.3369108723818,46.69754301288519,47.54212185866991,81880281
2007-11-07,46.651466369628906,48.893437181041655,45.60726084329386,48.217776741919,33593141
2007-11-08,45.852970123291016,47.09680708436366,44.839477042929396,45.4537162832883,27990521
2007-11-12,46.95859909057617,47.787823687171596,43.257805364972086,44.4709294663661,35153735
2007-11-13,48.0795783996582,49.047004189621056,46.2368610223668,47.75710452486248,43830531
2007-11-14,47.44997787475586,49.599814493825214,47.2042797618029,48.924149890173396,36738579
2007-11-15,48.24849319458008,49.093071931868636,47.34248888289493,48.34062739059959,29242252
2007-11-16,47.91067123413086,49.00094417378354,47.35785344166123,48.03351824393202,18895294
2007-11-19,49.645877838134766,51.442527710043244,48.63238517478882,49.000926068017016,40716718
2007-11-20,48.87809371948242,50.82830392146204,48.279208861238544,49.446265786046304,26342171
2007-11-21,45.06980895996094,49.46161710241373,43.97953199762075,49.16985601307043,26814499
2007-11-22,43.51885986328125,46.40578760463045,41.63007504590061,44.5937785261651,34096185
2007-11-23,46.40577697753906,46.68218373729576,43.795256657063334,46.375064189660435,27664090
2007-11-26,46.77431869506836,48.12564389349702,46.40577773126537,48.12564389349702,20159123
2007-11-27,45.622615814208984,47.572825611622775,45.14658222143697,47.572825611622775,20573198
2007-11-28,44.94696044921875,46.83574923027845,44.63984086408072,46.62076385445144,16435311
2007-11-29,43.73382568359375,46.313628486489186,43.165653811595604,46.06793456833707,25530967
2007-11-30,45.42300033569336,45.6994071415563,43.91811513437185,44.532354332101136,18437721
2007-12-03,46.06795120239258,46.636123279544314,45.622626128674064,45.975812825635614,16851227
2007-12-04,45.46905517578125,46.75895880925342,45.1312228750552,46.37505941424087,14008727
2007-12-05,47.281070709228516,47.449988982471595,45.45371165459242,45.54584586503335,27725290
2007-12-06,46.40577697753906,49.031647443590906,45.80689219341999,48.3099156735328,24104710
2007-12-07,46.20615768432617,47.357856280710585,45.376937194275314,46.69754991856549,11742386
2007-12-10,46.252220153808594,46.820388020712805,45.65333533149109,46.65147392496978,8330010
2007-12-11,46.037235260009766,46.927881180927656,45.8068955822426,46.666828713009714,11685950
2007-12-12,46.006526947021484,46.42113924046586,45.14659373256927,45.45371333281309,16342131
2007-12-13,45.23872756958008,46.68219134493263,45.06981345708348,46.06795214956153,14620172
2007-12-14,44.79338836669922,45.499765718053716,44.56304874104392,45.0851535587592,10991851
2007-12-17,42.09074401855469,45.30014489540296,41.46114645875328,45.05444676270898,19355678
2007-12-18,41.90647506713867,43.30386743584714,40.601216902635436,41.61470981119589,21607783
2007-12-19,41.13868713378906,43.626357133047605,40.785500369242136,43.25781188664751,19526912
2007-12-20,40.724063873291016,42.01396772487502,40.53979129941105,41.67613536702438,17105204
2007-12-24,41.9679069519043,42.62821328944269,41.000476834532,41.338309243330556,16711519
